hospital,date,active_total,active_total_flagged,active_icu,active_acute,admissions_total
BMC,2020-08-13,20,14,3,17,2
BMC,2020-08-14,21,16,3,18,4
BMC,2020-08-15,19,13,3,16,3
BMC,2020-08-16,17,12,3,14,1
BMC,2020-08-17,16,12,3,13,1
BMC,2020-08-18,15,11,3,12,1
BMC,2020-08-19,16,12,3,13,3
BMC,2020-08-20,15,10,3,12,1
BMC,2020-08-21,13,9,2,11,1
BMC,2020-08-22,15,10,2,13,3
BMC,2020-08-23,16,10,1,15,1
BMC,2020-08-24,19,13,1,18,3
BMC,2020-08-25,19,13,1,18,4
BMC,2020-08-26,21,16,1,20,2
BMC,2020-08-27,20,15,1,19,4
BMC,2020-08-28,22,16,2,20,1
BMC,2020-08-29,22,16,2,20,2
BMC,2020-08-30,17,11,2,15,1
BMC,2020-08-31,19,13,2,17,1
BMC,2020-09-01,19,13,3,16,2
BMC,2020-09-02,18,12,3,15,2
BMC,2020-09-03,20,15,4,16,2
BMC,2020-09-04,18,13,6,12,1
BMC,2020-09-05,18,12,5,13,1
BMC,2020-09-06,19,13,3,16,1
BMC,2020-09-07,19,13,4,15,0
BMC,2020-09-08,21,14,5,16,4
BMC,2020-09-09,23,13,4,19,0
BMC,2020-09-10,17,10,4,13,1
BMC,2020-09-11,14,10,4,10,1
BMC,2020-09-12,12,8,3,9,0
BMC,2020-09-13,13,9,3,10,3
BMC,2020-09-14,12,9,4,8,0
BMC,2020-09-15,10,7,3,7,0
BMC,2020-09-16,8,6,2,6,0
BMC,2020-09-17,7,5,2,5,0
BMC,2020-09-18,8,5,1,7,2
BMC,2020-09-19,8,6,1,7,1
BMC,2020-09-20,7,4,1,6,0
BMC,2020-09-21,7,4,2,5,0
BMC,2020-09-22,9,6,2,7,3
BMC,2020-09-23,7,6,3,4,2
BMC,2020-09-24,9,8,3,6,1
BMC,2020-09-25,9,8,3,6,1
BMC,2020-09-26,7,6,3,4,1
BMC,2020-09-27,6,4,2,4,0
BMC,2020-09-28,6,4,1,5,1
BMC,2020-09-29,5,3,2,3,0
BMC,2020-09-30,5,3,2,3,0
BMC,2020-10-01,5,3,2,3,1
BMC,2020-10-02,6,4,3,3,0
BMC,2020-10-03,6,3,2,4,3
BMC,2020-10-04,9,6,4,5,0
BMC,2020-10-05,10,6,3,7,0
BMC,2020-10-06,11,7,3,8,1
BMC,2020-10-07,10,7,4,6,1
BMC,2020-10-08,10,7,3,7,1
BMC,2020-10-09,12,7,4,8,3
BMC,2020-10-10,13,9,4,9,1
BMC,2020-10-11,11,7,3,8,0
BMC,2020-10-12,11,8,3,8,2
BMC,2020-10-13,10,7,4,6,0
BMC,2020-10-14,9,6,4,5,0
BMC,2020-10-15,9,7,4,5,1
BMC,2020-10-16,11,9,2,9,5
BMC,2020-10-17,9,6,2,7,3
BMC,2020-10-18,10,7,4,6,1
BMC,2020-10-19,12,8,4,8,1
BMC,2020-10-20,12,8,5,7,2
BMC,2020-10-21,11,8,4,7,2
BMC,2020-10-22,9,6,2,7,1
BMC,2020-10-23,7,5,1,6,2
BMC,2020-10-24,6,5,1,5,2
BMC,2020-10-25,9,8,2,7,3
BMC,2020-10-26,12,11,3,9,2
BMC,2020-10-27,10,8,4,6,1
BMC,2020-10-28,11,9,3,8,0
BMC,2020-10-29,11,9,3,8,1
BMC,2020-10-30,9,7,3,6,1
BMC,2020-10-31,10,7,2,8,1
BMC,2020-11-01,10,6,2,8,1
BMC,2020-11-02,12,8,2,10,3
BMC,2020-11-03,12,9,3,9,1
BMC,2020-11-04,11,8,3,8,1
BMC,2020-11-05,10,7,3,7,0
BMC,2020-11-06,11,8,2,9,1
BMC,2020-11-07,12,9,1,11,2
BMC,2020-11-08,13,11,3,10,4
BMC,2020-11-09,17,15,4,13,4
BMC,2020-11-10,22,20,4,18,4
BMC,2020-11-11,23,21,3,20,3
BMC,2020-11-12,24,22,4,20,3
BMC,2020-11-13,24,21,3,21,9
BMC,2020-11-14,29,25,5,24,6
BMC,2020-11-15,33,29,5,28,3
BMC,2020-11-16,32,29,5,27,9
BMC,2020-11-17,34,33,6,28,6
BMC,2020-11-18,37,34,7,30,4
BMC,2020-11-19,42,39,6,36,9
BMC,2020-11-20,46,40,9,37,4
BMC,2020-11-21,44,38,6,38,9
BMC,2020-11-22,44,37,6,38,5
BMC,2020-11-23,46,39,8,38,7
BMC,2020-11-24,50,44,8,42,8
BMC,2020-11-25,50,45,12,38,9
BMC,2020-11-26,56,48,14,42,8
BMC,2020-11-27,51,44,13,38,8
BMC,2020-11-28,53,45,14,39,3
BMC,2020-11-29,51,43,14,37,3
BMC,2020-11-30,49,41,14,35,4
BMC,2020-12-01,51,42,13,38,4
BMC,2020-12-02,47,41,14,33,4
BMC,2020-12-03,48,41,14,34,2
BMC,2020-12-04,50,42,13,37,3
BMC,2020-12-05,48,40,11,37,8
BMC,2020-12-06,48,38,15,33,5
BMC,2020-12-07,47,36,12,35,11
BMC,2020-12-08,50,39,12,38,5
BMC,2020-12-09,47,38,12,35,6
BMC,2020-12-10,44,36,12,32,4
BMC,2020-12-11,41,37,12,29,5
BMC,2020-12-12,42,32,13,29,4
BMC,2020-12-13,40,32,11,29,3
BMC,2020-12-14,40,33,13,27,3
BMC,2020-12-15,44,38,13,31,3
BMC,2020-12-16,46,36,13,33,6
BMC,2020-12-17,46,34,15,31,4
BMC,2020-12-18,43,34,14,29,5
BMC,2020-12-19,45,33,14,31,1
BMC,2020-12-20,49,36,13,36,8
BMC,2020-12-21,55,43,14,41,5
BMC,2020-12-22,53,40,15,38,8
BMC,2020-12-23,48,37,17,31,4
BMC,2020-12-24,43,31,17,26,1
BMC,2020-12-25,41,29,14,27,9
BMC,2020-12-26,54,42,17,37,7
BMC,2020-12-27,57,44,17,40,5
BMC,2020-12-28,54,40,17,37,0
BMC,2020-12-29,55,40,16,39,6
BMC,2020-12-30,59,43,17,42,5
BMC,2020-12-31,51,39,16,35,5
BMC,2021-01-01,48,34,17,31,2
BMC,2021-01-02,50,35,17,33,5
BMC,2021-01-03,55,41,16,39,3
BMC,2021-01-04,61,46,15,46,4
BMC,2021-01-05,59,41,16,43,2
BMC,2021-01-06,61,36,19,42,7
BMC,2021-01-07,62,39,19,43,4
BMC,2021-01-08,61,37,17,44,6
BMC,2021-01-09,53,36,16,37,4
BMC,2021-01-10,60,43,16,44,6
BMC,2021-01-11,59,43,14,45,3
BMC,2021-01-12,53,37,16,37,4
BMC,2021-01-13,55,38,13,42,5
BMC,2021-01-14,50,37,13,37,2
BMC,2021-01-15,44,31,13,31,6
BMC,2021-01-16,43,32,11,32,5
BMC,2021-01-17,43,33,13,30,2
BMC,2021-01-18,43,34,11,32,3
BMC,2021-01-19,48,38,13,35,7
BMC,2021-01-20,49,34,13,36,6
BMC,2021-01-21,55,41,11,44,7
BMC,2021-01-22,48,34,12,36,3
BMC,2021-01-23,47,33,13,34,6
BMC,2021-01-24,48,33,13,35,4
BMC,2021-01-25,50,34,14,36,8
BMC,2021-01-26,49,32,16,33,5
BMC,2021-01-27,46,29,16,30,4
BMC,2021-01-28,48,32,16,32,6
BMC,2021-01-29,38,24,14,24,2
BMC,2021-01-30,34,22,13,21,3
BMC,2021-01-31,37,26,13,24,5
BMC,2021-02-01,39,27,15,24,6
BMC,2021-02-02,44,32,15,29,7
BMC,2021-02-03,43,31,16,27,5
BMC,2021-02-04,44,30,14,30,2
BMC,2021-02-05,40,27,13,27,1
BMC,2021-02-06,43,30,15,28,3
BMC,2021-02-07,47,33,15,32,6
BMC,2021-02-08,45,31,14,31,2
BMC,2021-02-09,40,28,13,27,1
BMC,2021-02-10,38,24,13,25,1
BMC,2021-02-11,37,23,14,23,3
BMC,2021-02-12,37,23,14,23,1
BMC,2021-02-13,35,20,13,22,3
BMC,2021-02-14,33,18,11,22,2
BMC,2021-02-15,33,18,14,19,2
BMC,2021-02-16,33,19,11,22,2
BMC,2021-02-17,29,15,12,17,2
HCGH,2020-03-13,0,0,0,0,0
HCGH,2020-03-14,1,1,0,1,0
HCGH,2020-03-15,1,1,0,1,0
HCGH,2020-03-16,0,0,0,0,0
HCGH,2020-03-17,1,1,0,1,1
HCGH,2020-03-18,3,3,1,2,2
HCGH,2020-03-19,1,1,0,1,0
HCGH,2020-03-20,4,4,1,3,1
HCGH,2020-03-21,5,5,1,4,2
HCGH,2020-03-22,6,6,1,5,1
HCGH,2020-03-23,5,5,1,4,1
HCGH,2020-03-24,6,6,0,6,6
HCGH,2020-03-25,11,11,2,9,3
HCGH,2020-03-26,9,9,2,7,2
HCGH,2020-03-27,12,12,1,11,6
HCGH,2020-03-28,12,12,1,11,2
HCGH,2020-03-29,14,14,2,12,4
HCGH,2020-03-30,9,9,3,6,3
HCGH,2020-03-31,4,4,0,4,2
HCGH,2020-04-01,7,7,0,7,8
HCGH,2020-04-02,12,12,4,8,4
HCGH,2020-04-03,11,11,3,8,5
HCGH,2020-04-04,16,16,0,16,5
HCGH,2020-04-05,11,11,1,10,1
HCGH,2020-04-06,7,7,0,7,3
HCGH,2020-04-07,11,11,3,8,4
HCGH,2020-04-08,17,17,5,12,7
HCGH,2020-04-09,19,19,7,12,7
HCGH,2020-04-10,24,24,4,20,4
HCGH,2020-04-11,28,28,6,22,7
HCGH,2020-04-12,32,32,5,27,4
HCGH,2020-04-13,35,35,9,26,5
HCGH,2020-04-14,30,30,9,21,0
HCGH,2020-04-15,24,23,7,17,5
HCGH,2020-04-16,27,27,7,20,6
HCGH,2020-04-17,24,23,7,17,2
HCGH,2020-04-18,32,31,6,26,7
HCGH,2020-04-19,36,35,7,29,6
HCGH,2020-04-20,40,39,8,32,10
HCGH,2020-04-21,39,39,9,30,3
HCGH,2020-04-22,36,36,8,28,4
HCGH,2020-04-23,36,36,7,29,5
HCGH,2020-04-24,34,34,7,27,2
HCGH,2020-04-25,35,35,8,27,3
HCGH,2020-04-26,35,35,7,28,3
HCGH,2020-04-27,34,34,7,27,5
HCGH,2020-04-28,41,41,10,31,10
HCGH,2020-04-29,43,43,11,32,8
HCGH,2020-04-30,47,46,12,35,3
HCGH,2020-05-01,47,46,9,38,4
HCGH,2020-05-02,48,47,11,37,3
HCGH,2020-05-03,47,45,12,35,2
HCGH,2020-05-04,46,44,12,34,8
HCGH,2020-05-05,50,48,13,37,8
HCGH,2020-05-06,54,52,13,41,7
HCGH,2020-05-07,52,50,12,40,4
HCGH,2020-05-08,49,47,8,41,7
HCGH,2020-05-09,45,44,12,33,1
HCGH,2020-05-10,43,42,9,34,3
HCGH,2020-05-11,48,47,9,39,6
HCGH,2020-05-12,48,47,11,37,4
HCGH,2020-05-13,46,45,11,35,4
HCGH,2020-05-14,47,46,13,34,1
HCGH,2020-05-15,48,47,12,36,5
HCGH,2020-05-16,38,37,11,27,6
HCGH,2020-05-17,35,34,8,27,0
HCGH,2020-05-18,36,35,6,30,2
HCGH,2020-05-19,31,30,6,25,4
HCGH,2020-05-20,36,35,4,32,6
HCGH,2020-05-21,31,30,3,28,5
HCGH,2020-05-22,39,37,3,36,10
HCGH,2020-05-23,43,41,3,40,4
HCGH,2020-05-24,41,39,3,38,3
HCGH,2020-05-25,42,40,3,39,3
HCGH,2020-05-26,42,40,3,39,7
HCGH,2020-05-27,40,39,6,34,5
HCGH,2020-05-28,41,40,7,34,2
HCGH,2020-05-29,34,33,8,26,3
HCGH,2020-05-30,31,30,5,26,1
HCGH,2020-05-31,28,27,3,25,2
HCGH,2020-06-01,30,29,3,27,3
HCGH,2020-06-02,31,30,3,28,2
HCGH,2020-06-03,26,25,3,23,5
HCGH,2020-06-04,27,27,3,24,3
HCGH,2020-06-05,23,23,5,18,2
HCGH,2020-06-06,32,32,5,27,5
HCGH,2020-06-07,33,33,9,24,2
HCGH,2020-06-08,39,39,11,28,6
HCGH,2020-06-09,35,35,9,26,3
HCGH,2020-06-10,38,38,9,29,5
HCGH,2020-06-11,33,33,10,23,0
HCGH,2020-06-12,30,30,9,21,1
HCGH,2020-06-13,27,27,8,19,1
HCGH,2020-06-14,30,30,9,21,5
HCGH,2020-06-15,32,32,9,23,3
HCGH,2020-06-16,29,29,9,20,2
HCGH,2020-06-17,30,30,9,21,7
HCGH,2020-06-18,32,32,9,23,3
HCGH,2020-06-19,31,31,9,22,3
HCGH,2020-06-20,28,28,8,20,3
HCGH,2020-06-21,33,33,8,25,7
HCGH,2020-06-22,31,31,9,22,0
HCGH,2020-06-23,31,31,8,23,1
HCGH,2020-06-24,29,29,7,22,1
HCGH,2020-06-25,23,23,5,18,0
HCGH,2020-06-26,22,21,4,18,6
HCGH,2020-06-27,20,19,4,16,2
HCGH,2020-06-28,22,21,4,18,3
HCGH,2020-06-29,20,19,5,15,2
HCGH,2020-06-30,21,21,3,18,2
HCGH,2020-07-01,22,22,2,20,2
HCGH,2020-07-02,20,20,2,18,2
HCGH,2020-07-03,16,16,2,14,0
HCGH,2020-07-04,14,14,1,13,1
HCGH,2020-07-05,16,16,3,13,1
HCGH,2020-07-06,15,15,3,12,1
HCGH,2020-07-07,14,14,3,11,0
HCGH,2020-07-08,14,14,4,10,0
HCGH,2020-07-09,18,18,3,15,2
HCGH,2020-07-10,18,18,3,15,3
HCGH,2020-07-11,21,21,3,18,3
HCGH,2020-07-12,18,18,2,16,3
HCGH,2020-07-13,23,23,4,19,3
HCGH,2020-07-14,25,24,6,19,1
HCGH,2020-07-15,22,21,6,16,4
HCGH,2020-07-16,20,19,6,14,2
HCGH,2020-07-17,28,27,6,22,4
HCGH,2020-07-18,28,27,8,20,1
HCGH,2020-07-19,27,26,7,20,2
HCGH,2020-07-20,26,25,7,19,3
HCGH,2020-07-21,23,22,7,16,2
HCGH,2020-07-22,23,22,6,17,4
HCGH,2020-07-23,23,23,7,16,2
HCGH,2020-07-24,19,19,6,13,0
HCGH,2020-07-25,21,20,5,16,3
HCGH,2020-07-26,21,20,4,17,2
HCGH,2020-07-27,22,21,3,19,2
HCGH,2020-07-28,21,20,3,18,1
HCGH,2020-07-29,20,19,2,18,3
HCGH,2020-07-30,20,20,2,18,0
HCGH,2020-07-31,16,16,2,14,0
HCGH,2020-08-01,15,14,2,13,1
HCGH,2020-08-02,16,15,2,14,1
HCGH,2020-08-03,15,14,1,14,3
HCGH,2020-08-04,19,18,1,18,3
HCGH,2020-08-05,16,15,1,15,0
HCGH,2020-08-06,16,16,1,15,2
HCGH,2020-08-07,17,16,2,15,3
HCGH,2020-08-08,17,16,2,15,1
HCGH,2020-08-09,19,18,2,17,2
HCGH,2020-08-10,19,18,1,18,3
HCGH,2020-08-11,18,17,1,17,0
HCGH,2020-08-12,17,16,1,16,1
HCGH,2020-08-13,14,13,2,12,2
HCGH,2020-08-14,15,13,2,13,0
HCGH,2020-08-15,14,13,2,12,1
HCGH,2020-08-16,14,13,2,12,2
HCGH,2020-08-17,17,16,1,16,1
HCGH,2020-08-18,18,16,2,16,1
HCGH,2020-08-19,18,16,3,15,2
HCGH,2020-08-20,20,19,3,17,4
HCGH,2020-08-21,22,20,3,19,2
HCGH,2020-08-22,23,21,3,20,0
HCGH,2020-08-23,22,20,3,19,1
HCGH,2020-08-24,21,19,5,16,0
HCGH,2020-08-25,20,18,3,17,2
HCGH,2020-08-26,18,17,2,16,0
HCGH,2020-08-27,15,14,2,13,1
HCGH,2020-08-28,15,14,2,13,1
HCGH,2020-08-29,12,11,1,11,0
HCGH,2020-08-30,11,10,1,10,1
HCGH,2020-08-31,13,12,1,12,3
HCGH,2020-09-01,14,13,1,13,1
HCGH,2020-09-02,15,14,1,14,3
HCGH,2020-09-03,19,18,2,17,1
HCGH,2020-09-04,17,16,2,15,0
HCGH,2020-09-05,17,15,1,16,0
HCGH,2020-09-06,14,12,0,14,1
HCGH,2020-09-07,15,13,1,14,0
HCGH,2020-09-08,17,15,1,16,0
HCGH,2020-09-09,15,13,1,14,2
HCGH,2020-09-10,15,13,0,15,1
HCGH,2020-09-11,16,15,1,15,4
HCGH,2020-09-12,16,14,1,15,1
HCGH,2020-09-13,20,18,1,19,2
HCGH,2020-09-14,21,19,4,17,0
HCGH,2020-09-15,22,18,3,19,2
HCGH,2020-09-16,22,18,2,20,2
HCGH,2020-09-17,18,14,2,16,0
HCGH,2020-09-18,18,15,1,17,1
HCGH,2020-09-19,18,15,1,17,1
HCGH,2020-09-20,19,16,0,19,2
HCGH,2020-09-21,20,18,1,19,3
HCGH,2020-09-22,22,20,2,20,0
HCGH,2020-09-23,19,16,0,19,3
HCGH,2020-09-24,20,16,1,19,2
HCGH,2020-09-25,18,15,2,16,2
HCGH,2020-09-26,17,14,2,15,1
HCGH,2020-09-27,17,14,2,15,1
HCGH,2020-09-28,19,16,1,18,2
HCGH,2020-09-29,13,9,1,12,1
HCGH,2020-09-30,13,9,2,11,1
HCGH,2020-10-01,12,8,2,10,1
HCGH,2020-10-02,12,9,2,10,1
HCGH,2020-10-03,12,9,2,10,1
HCGH,2020-10-04,11,9,2,9,2
HCGH,2020-10-05,15,13,2,13,1
HCGH,2020-10-06,16,14,2,14,2
HCGH,2020-10-07,17,15,2,15,4
HCGH,2020-10-08,19,16,3,16,3
HCGH,2020-10-09,19,17,3,16,4
HCGH,2020-10-10,22,20,4,18,2
HCGH,2020-10-11,19,17,5,14,1
HCGH,2020-10-12,19,17,5,14,0
HCGH,2020-10-13,15,14,4,11,1
HCGH,2020-10-14,12,10,3,9,1
HCGH,2020-10-15,14,12,3,11,3
HCGH,2020-10-16,16,14,4,12,1
HCGH,2020-10-17,17,15,5,12,1
HCGH,2020-10-18,16,14,5,11,1
HCGH,2020-10-19,17,16,4,13,1
HCGH,2020-10-20,17,14,4,13,2
HCGH,2020-10-21,22,18,6,16,4
HCGH,2020-10-22,24,20,7,17,1
HCGH,2020-10-23,22,18,8,14,3
HCGH,2020-10-24,22,19,9,13,1
HCGH,2020-10-25,22,19,8,14,2
HCGH,2020-10-26,23,20,7,16,1
HCGH,2020-10-27,23,20,7,16,3
HCGH,2020-10-28,27,23,7,20,3
HCGH,2020-10-29,24,21,9,15,2
HCGH,2020-10-30,23,20,8,15,2
HCGH,2020-10-31,23,19,7,16,4
HCGH,2020-11-01,23,19,6,17,0
HCGH,2020-11-02,24,20,7,17,1
HCGH,2020-11-03,18,14,5,13,1
HCGH,2020-11-04,15,11,5,10,0
HCGH,2020-11-05,13,10,6,7,2
HCGH,2020-11-06,15,13,5,10,3
HCGH,2020-11-07,18,18,3,15,4
HCGH,2020-11-08,23,22,5,18,2
HCGH,2020-11-09,24,23,6,18,2
HCGH,2020-11-10,26,24,6,20,5
HCGH,2020-11-11,31,30,6,25,8
HCGH,2020-11-12,36,36,7,29,7
HCGH,2020-11-13,39,39,7,32,2
HCGH,2020-11-14,38,38,9,29,4
HCGH,2020-11-15,39,39,10,29,6
HCGH,2020-11-16,44,44,11,33,5
HCGH,2020-11-17,51,49,14,37,6
HCGH,2020-11-18,46,44,14,32,2
HCGH,2020-11-19,43,41,13,30,6
HCGH,2020-11-20,44,41,12,32,3
HCGH,2020-11-21,45,43,9,36,7
HCGH,2020-11-22,51,49,9,42,6
HCGH,2020-11-23,53,52,9,44,11
HCGH,2020-11-24,62,61,11,51,6
HCGH,2020-11-25,57,56,12,45,2
HCGH,2020-11-26,59,58,10,49,7
HCGH,2020-11-27,57,56,10,47,6
HCGH,2020-11-28,53,52,11,42,5
HCGH,2020-11-29,58,57,8,50,7
HCGH,2020-11-30,56,55,9,47,3
HCGH,2020-12-01,52,49,9,43,3
HCGH,2020-12-02,41,40,8,33,3
HCGH,2020-12-03,36,35,8,28,1
HCGH,2020-12-04,35,32,9,26,3
HCGH,2020-12-05,37,34,10,27,7
HCGH,2020-12-06,45,41,9,36,5
HCGH,2020-12-07,48,45,10,38,8
HCGH,2020-12-08,47,44,9,38,9
HCGH,2020-12-09,51,47,10,41,3
HCGH,2020-12-10,48,45,7,41,7
HCGH,2020-12-11,47,43,11,36,4
HCGH,2020-12-12,46,43,11,35,6
HCGH,2020-12-13,47,44,11,36,5
HCGH,2020-12-14,46,43,12,34,5
HCGH,2020-12-15,45,42,11,34,1
HCGH,2020-12-16,39,36,12,27,6
HCGH,2020-12-17,41,39,12,29,6
HCGH,2020-12-18,44,42,12,32,5
HCGH,2020-12-19,43,41,15,28,9
HCGH,2020-12-20,48,46,12,36,3
HCGH,2020-12-21,46,43,14,32,4
HCGH,2020-12-22,49,45,15,34,10
HCGH,2020-12-23,51,49,15,36,4
HCGH,2020-12-24,47,46,17,30,4
HCGH,2020-12-25,51,48,15,36,11
HCGH,2020-12-26,52,49,15,37,5
HCGH,2020-12-27,54,51,15,39,5
HCGH,2020-12-28,50,47,14,36,4
HCGH,2020-12-29,53,49,12,41,5
HCGH,2020-12-30,49,46,10,39,3
HCGH,2020-12-31,48,47,9,39,4
HCGH,2021-01-01,49,48,9,40,5
HCGH,2021-01-02,52,51,10,42,4
HCGH,2021-01-03,47,46,10,37,2
HCGH,2021-01-04,51,46,9,42,3
HCGH,2021-01-05,53,47,9,44,11
HCGH,2021-01-06,60,54,9,51,8
HCGH,2021-01-07,58,51,13,45,10
HCGH,2021-01-08,65,59,12,53,6
HCGH,2021-01-09,65,55,11,54,2
HCGH,2021-01-10,63,53,13,50,2
HCGH,2021-01-11,61,51,13,48,4
