hospital,date,occupancy_combined,occupancy_combined_flagged,occupancy_icu,occupancy_icu_flagged,occupancy_acute,admissions_combined,admissions_icu
BMC,2020-03-12,0,0,0,0,0,0,0
BMC,2020-03-13,0,0,0,0,0,0,0
BMC,2020-03-14,0,0,0,0,0,0,0
BMC,2020-03-15,0,0,0,0,0,0,0
BMC,2020-03-16,0,0,0,0,0,0,0
BMC,2020-03-17,0,0,0,0,0,0,0
BMC,2020-03-18,1,1,0,0,1,1,0
BMC,2020-03-19,0,0,0,0,0,0,0
BMC,2020-03-20,0,0,0,0,0,0,0
BMC,2020-03-21,0,0,0,0,0,0,0
BMC,2020-03-22,0,0,0,0,0,0,0
BMC,2020-03-23,0,0,0,0,0,0,0
BMC,2020-03-24,1,1,0,0,1,1,0
BMC,2020-03-25,1,1,0,0,1,0,0
BMC,2020-03-26,2,2,0,0,2,0,0
BMC,2020-03-27,0,0,0,0,0,0,0
BMC,2020-03-28,0,0,0,0,0,1,0
BMC,2020-03-29,3,3,0,0,3,1,0
BMC,2020-03-30,2,2,0,0,2,1,0
BMC,2020-03-31,5,5,1,1,4,2,0
BMC,2020-04-01,7,7,2,2,5,2,1
BMC,2020-04-02,8,8,3,3,5,1,0
BMC,2020-04-03,9,9,3,3,6,3,0
BMC,2020-04-04,10,10,3,3,7,1,0
BMC,2020-04-05,11,11,3,3,8,4,0
BMC,2020-04-06,16,16,3,3,13,2,0
BMC,2020-04-07,19,19,4,4,15,0,0
BMC,2020-04-08,13,13,5,5,8,1,0
BMC,2020-04-09,13,13,5,5,8,4,0
BMC,2020-04-10,7,7,3,3,4,1,0
BMC,2020-04-11,10,10,4,4,6,4,0
BMC,2020-04-12,14,14,6,6,8,2,1
BMC,2020-04-13,12,12,7,7,5,2,0
BMC,2020-04-14,17,17,6,6,11,1,0
BMC,2020-04-15,19,19,7,7,12,4,0
BMC,2020-04-16,15,15,6,6,9,0,0
BMC,2020-04-17,14,14,5,5,9,4,0
BMC,2020-04-18,15,15,5,5,10,3,0
BMC,2020-04-19,18,18,6,6,12,2,0
BMC,2020-04-20,18,18,7,7,11,2,0
BMC,2020-04-21,18,18,8,8,10,2,0
BMC,2020-04-22,19,19,5,5,14,2,0
BMC,2020-04-23,20,20,4,4,16,6,0
BMC,2020-04-24,23,23,7,7,16,5,0
BMC,2020-04-25,25,25,7,7,18,2,0
BMC,2020-04-26,23,23,8,8,15,1,0
BMC,2020-04-27,22,22,7,7,15,3,0
BMC,2020-04-28,25,25,7,7,18,3,1
BMC,2020-04-29,19,19,5,5,14,2,0
BMC,2020-04-30,22,22,6,6,16,2,0
